name,website,address,phone,category,rating,reviews_count,reject_reason
Paolini Aesthetics,,"Unit 1, Liberty Centre, Mount Pleasant, Wembley HA0 1TX, United Kingdom",,Clínica dermatológica,5,,no_website
Paris Aesthetic Clinic,,"22 Lytton Rd, London, New Barnet, Barnet EN5 5BY, United Kingdom",+447946504654,Centro de estética,4.9,,no_website
Pharmaesthetics,,"41 Windsor St, Uxbridge UB8 1AB, United Kingdom",+447424859735,Medical spa,5,,no_website
PreJuvenation,https://www.instagram.com/prejuvenationuk/?igsh=YXZqdm0zNXR5c2M1&utm_source=qr,"78 Chelsea Manor St, London SW3 5QE, United Kingdom",+447908725946,Skin care clinic,5,,social_media:instagram.com
Prisca's Skincare & Aesthetics,,"Northfield Rd, Hounslow TW5 9JG, United Kingdom",+447450210066,Skin care clinic,5,,no_website
Private London Clinic,https://www.privatelondonclinic.co.uk/pages/harley_street_london_clinic_274656.cfm,"10 Harley St, London W1G 9QY, United Kingdom",+447956576666,Medical spa,4.9,,ssl_error
Pulse Light Clinic,https://www.pulselightclinic.co.uk/,"11 Artillery Ln, London E1 7LP, United Kingdom",+442075938055,Laser hair removal service,4.7,,http_error:403
Pulse Light Clinic,https://www.pulselightclinic.co.uk/,"1st Floor, 20 Eastcheap, London EC3M 1DT, United Kingdom",+442075235158,Laser hair removal service,4.5,,http_error:403
Pure Medi Spa & Clinic,,"9 Chigwell Rd, London E18 1LR, United Kingdom",+442089891822,Beauty salon,3.9,,no_website
Pure Medical Aesthetics,https://www.pureaestheticslondon.co.uk/home-page58863085,"The Brentano suite, Solar House, 915 High Rd, London N12 8QJ, United Kingdom",+447368361591,Spa terapéutico,5,,http_error:403
R&G aesthetic and laser clinic,,"Green Lanes, Harringay Ladder, London N4 1JX, United Kingdom",+447588887153,Beauty salon,5,,no_website
RB London Clinic at BODYBOX,,"85 Charlotte St., London W1T 4PS, United Kingdom",+447460597973,Skin care clinic,4.7,,no_website
Re-Up Aesthetics,,"wow Beauty, 190 Camden High St, London NW1 8QP, United Kingdom",,Beauty salon,5,,no_website
Refine Skin Clinic,https://www.instagram.com/refineskin.clinic/,"2 Hampstead High St, London NW3 1PR, United Kingdom",+447514831038,Esthetics service,5,,social_media:instagram.com
Regents Park Aesthetics,https://www.regentsparkaesthetics.co.uk/,"19 Wimpole St, London W1G 8GE, United Kingdom",+442075804813,Medicinsk spa,4.7,,http_error:403
Rejuve Esthetics,,"14 Rose Bates Dr, London NW9 9QJ, United Kingdom",+447413707087,Centro de estética,4.8,,no_website
Rejuvenate with Ri,,"12 Loampit Hill, London SE13 7SW, United Kingdom",+447415795865,Skin care clinic,5,,no_website
Rene Clinic,https://reneclinic.uk/,"9 Warwick St, London W1B 5LZ، United Kingdom",+442034787000,Skin care clinic,4.8,,http_error:503
Renuvaderm,,"First Floor, 321 Fulham Rd., London SW10 9QL, United Kingdom",+442071930797,Cơ sở chăm sóc da,5,,no_website
Revival Spa,,"Chiswick High Rd., Chiswick, London W4 2DW, United Kingdom",+442089948582,Spa,5,,no_website
Revive Skin Clinic,https://www.reviveskinclinic.co.uk/,"70 Chapel Market, London N1 9ER, United Kingdom",+447983692221,Thẩm mỹ viện,5,,ssl_error
Rich Aesthetic Beauty Clinic,,"ground floor, fabulous trace salon, 86 Leytonstone Rd, London E15 1TQ, United Kingdom",+447946833155,Spa,5,,no_website
Rituales Laser Clinic,,"9 Hereford Rd, London W2 4AB، United Kingdom",+447925628283,,5,,no_website
Roya Aesthetics & Beauty | Archway,,"Within Polish My Nails, 750 Holloway Rd, Archway, London N19 3JF, United Kingdom",+447311282285,Beauty salon,4.8,,no_website
Sa'ha,https://www.saha-health.co.uk/tandcs,"St Mark's Rd, Enfield EN1 1BG, United Kingdom",+447913333320,Cơ sở chăm sóc da,4.8,,http_error:404
Saimari Clinic,,"Unit 4B, 4th floor, 193-195 Brompton Rd, London SW3 1LZ, United Kingdom",+447537945755,Medical clinic,5,,no_website
Sandy Henshaw Beauty,,"21 Highgate High St, London N6 5JT, United Kingdom",+447928550270,Spa y tế,5,,no_website
SANTANA AESTHETICS,,"1302 Uxbridge Rd, Hayes End, Hayes UB4 8JG, United Kingdom",+447512325439,Skin care clinic,5,,no_website
Sarah Aesthetics Clinic,https://instagram.com/sarah_aesthetics_london?igshid=OGQ5ZDc2ODk2ZA==,"6 Ursula Gould Wy, London E14 7FX, United Kingdom",+447448338247,Esteticista,5,,social_media:instagram.com
Sass London,http://www.sasslondonaesthetic.co.uk/,"Beaufort Park, 8 Aerodrome Rd, London NW9 5GW, United Kingdom",+447591118872,Medical spa,5,,connection_error
SD Skin Clinic London,,"108 Kirkdale, London SE26 4BG, United Kingdom",+447507617962,Skin care clinic,5,,no_website
Secret Aesthetics,,"464 Southlands Rd, Bromley BR2 9QP, United Kingdom",+447520642587,Cilt Bakım Kliniği,5,,no_website
Secret Aesthetics Clinic,http://secretaestheticsclinic.co.uk/,"515 Biscoe Cl, Hounslow TW5 0UU، United Kingdom",+447520641809,,5,,connection_error
Selah Skin,,"Princes Ln, Muswell Hill, London N10 3LU, United Kingdom",,Skin care clinic,5,,no_website
Serenity Skin Studio,,"44 Parfett St, London E1 1JR, United Kingdom",+447949993666,Medical spa,,,no_website
SF Salon & Spa,http://www.sfsalonandspa.co.uk/,"202 Archway Rd, London N6 5BA, United Kingdom",+442083400100,Thẩm mỹ viện,4.5,,http_error:503
Shine Beauty & Laser Clinic,,"562 Hertford Rd, Enfield EN3 5SU, United Kingdom",+442088055844,Thẩm mỹ viện,4.6,,no_website
Siaes Clinic,,"114 New Cavendish St, London W1W 6XT, United Kingdom",+447897765311,Spa médical,4.8,,no_website
Siri Healthcare,https://sirihealthcare.co.uk/,"Sheel Pharmacy + London's Cheapest Travel Clinic + Weight Loss Clinic + Ear Clinic, 296-298 Lewisham High St, London SE13 6JZ, United Kingdom",+442081543368,Skin care clinic,5,,http_error:403
SJ Aesthetics Lab,,"UNIT 39, Face Clinic Ldn, Containerville, 1 Emma St, London E2 9FP, United Kingdom",+447478689160,Beautician,5,,no_website
Skin & Tonic Ltd Bexley,http://www.skinandtonicltd.com/,"Summerhouse Dr, Bexley DA5 2EE, United Kingdom",+441322837210,Institut de beauté,4.9,,http_error:403
Skin Knowledge,https://skinlaserlondon.com/,"City Rd, London EC2M 1NH, United Kingdom",+442031619289,Laser hair removal service,5,,connection_error
Skin remedy clinic,https://skinremedyclinic.com/,"5, London W13 9LL, United Kingdom",+447878781921,Skin care clinic,5,,connection_error
Skin Revive,https://www.fresha.com/book-now/skin-revive-london-ltd-s0gr1lo2/all-offer?id=1092872&pId=1036269,"179 Lower Richmond Rd., Richmond TW9 4LN, United Kingdom",+447503287644,Laser hair removal service,5,,http_error:404
Skin Wellness Body with Audrey,http://www.o-glow-on.co.uk/,"209 Old Marylebone Road within WOW beauty and wellness - Marylebone South Studio 10, London NW1 5QT, United Kingdom",+447876067049,Medical spa,5,,http_error:404
Skin360Clinic (within The Angel Laser Clinic),,"144 Liverpool Rd, London N1 1LA, United Kingdom",,Dermatologist,5,,no_website
Skinflux Facial Aesthetics,https://www.instagram.com/skinfluxaesthetics/,"Cloisters Mall, Church St, Kingston upon Thames KT1 1RS, United Kingdom",+447824035625,Skin care clinic,5,,social_media:instagram.com
SkinNurse Medical Aesthetics,,"5 Winchester Rd, London E4 9LH، United Kingdom",+447380562127,Clínica dermatológica,5,,no_website
"Skinvestment, Highgate",https://www.instagram.com/skinvestment.highgate,"355 Archway Rd, London N6 4EJ, United Kingdom",+447931866817,Beautician,5,,social_media:instagram.com
Skulpt Aesthetic Clinic and Training academy,https://www.instagram.com/skulptedlondon/?hl=en,"144b E Barnet Rd, London, Barnet EN4 8RD, United Kingdom",+447432098177,Güzellik Salonu,4.8,,social_media:instagram.com
Slique Spa,,"81 Norwood Rd, London SE24 9AA, United Kingdom",+442086710227,Spa,5,,no_website
Soho Aesthetics,,"Unit S/31, Pop Brixton, 49 Brixton Station Rd, London SW9 8PQ, United Kingdom",+447506180799,Skin care clinic,,,no_website
Soho Aesthetics Clinic London,https://sohoaestheticsclinic.co.uk/,"177 Wardour St, London W1F 8WX, United Kingdom",+447463655131,Beauty salon,,,http_error:404
Soho Men's Aesthetic Clinic,,"111 Charing Cross Rd, London WC2H 0DU, United Kingdom",,Men's health physician,5,,no_website
Sonelle Aesthetics,,"26E Bloomfield Rd, Kingston upon Thames KT1 2SE, United Kingdom",+447445507087,Skin care clinic,4.7,,no_website
Teddy's Beauty Clinic,https://www.teddysbeauty.co.uk/,"271 Cavendish Rd, London SW12 0PH, United Kingdom",+447523076481,Clínica dermatológica,5,,ssl_error
The Aesthetic Box Uxbridge,https://www.theaestheticbox.co.uk/,"23 Waterside, Cowley, Uxbridge UB8 2LG, United Kingdom",+447759491333,Skin care clinic,5,,http_error:403
The Aesthetic Sisters,https://that-time.co.uk/theaestheticsisters,"14 Atlantis Ave, London E16 2BF, United Kingdom",+447576170100,Spa terapéutico,,,http_error:403
The Aesthetics Clinic By Nikita Harika,,"769 Uxbridge Rd, Hayes End, Hayes UB4 8HY, United Kingdom",+447903058529,Health and beauty shop,5,,no_website
The Aesthetta Clinic,https://theaesthettaclinic.com/,"London W1W 6XT, United Kingdom",,Spa y tế,5,,http_error:404
The AK Aesthetic,,"The Courtyard, 151 Sydney St, London SW3 6NT, United Kingdom",+447538574464,Skin care clinic,5,,no_website
The Beauty Lodge Day Spa,http://www.thebeautylodge.co.uk/,"12 Glendale Ave, London N22 5HL, United Kingdom",+442088882664,Spa,4.6,,http_error:403
The Beauty Script,https://thebeautyscript.co.uk/,"UNTIL, 1 Orchard St, London W1H 6HJ, United Kingdom",+447312173128,Spa y tế,5,,http_error:503
The Bexley Clinic,http://www.thebexleyclinic.com/,"26 Blackfen Rd, Sidcup DA15 8SN, United Kingdom",+447815724504,Skin care clinic,4.6,,timeout
The Dorchester Spa,https://www.dorchestercollection.com/london/the-dorchester/spa,"53 Park Ln, London W1K 1QA, United Kingdom",+442073197109,Spa,4.6,,http_error:403
The French Clinic,,"Mobile Clinic, Fulham Palace Rd, London W6 9PY, United Kingdom",+447510021180,Massage spa,5,,no_website
The Laser Clinic Group,,"Ground Floor, 5 Kensington High St, London W8 5NP, United Kingdom",+442039978884,Laser hair removal service,5,,no_website
The Laser Clinic Group,,"48 Buckingham Palace Rd, London SW1W 0RN, United Kingdom",+442036672710,Laser hair removal service,5,,no_website
The Laser Clinic Group High Barnet,,"Anytime Fitness, Barnet EN5 5XY, United Kingdom",+442088193508,Güzellik Salonu,5,,no_website
The Laser Treatment Clinic Harley St London,https://www.thelasertreatmentclinic.com/,"1 Harley St, London W1G 9QD, United Kingdom",+442080128582,Skin care clinic,4.2,,http_error:403
The Med Spa at The CityPoint Club,,"1 Ropemaker St, London EC2Y 9AW, United Kingdom",+442079206200,Tedavi Amaçlı Kaplıca,4.7,,no_website
The Mole Clinic Richmond,https://themoleclinic.co.uk/richmond/,"11, 13 Sheen Rd, Richmond TW9 1AD, United Kingdom",+448000234212,Clinique dermatologique,5,,http_error:403
The NutriDerm Method,,"17 Chapel Market, London N1 9EZ, United Kingdom",+447404128042,Clínica dermatológica,4.7,,no_website
The One & Only,https://the-one-and-only.co.uk/,"18 Hill Rise, Richmond TW10 6UA, United Kingdom",+447354710329,Centro de estética,5,,http_error:503
The Opha Clinic,https://that-time.co.uk/dashboard/home/OphaClinic,"123A Kentish Town Rd, London NW1 8PB, United Kingdom",+447770657326,Spa y tế,5,,http_error:403
The REAL Clinic,https://www.therealclinic.com/,"25 Patcham Terrace, Nine Elms, London SW8 4EX, United Kingdom",+442038181889,Clínica dermatológica,4.8,,http_error:403
The Spa at Park Hyatt London River Thames,https://www.hyatt.com/en-US/spas/The-Spa-At-Park-Hyatt-London-River-Thames/home,"7 Nine Elms Ln, Nine Elms, London SW8 5PH, United Kingdom",+442035034255,Spa,4.8,,http_error:429
The Vanity Lab,,"18A Charing Cross Rd, London WC2H 0HR, United Kingdom",+442072405250,Medical spa,5,,no_website
The Wellness Station,https://thewellnessstation.co.uk/,"Full Stop Aesthetics, St George’s Centre, Harrow HA1 1HS, United Kingdom",+447498308430,Skin care clinic,5,,connection_error
TOX+ Aesthetics London,https://www.toxaesthetics.co.uk/,"201 St John's Hl, London SW11 1TH, United Kingdom",+447817517908,Medical spa,5,,ssl_error
Ubina Aesthetics London,,"104 Judd St, London WC1H 9PU, United Kingdom",+447367672501,Skin care clinic,5,,no_website
V&A Aesthetics,,"Nick Castle Osteopathy & Sports Medicine Clinics, 121 Dawes Rd, London SW6 7DU, United Kingdom",+442036331611,Skin care clinic,4.9,,no_website
Velina Beauty Clinic,,"660 High Rd, London N17 0AB, United Kingdom",+442088013156,Dịch vụ tẩy lông bằng la-de,4.3,,no_website
VIA Medical Aesthetics,,"4 Merivale Rd, Harrow HA1 4BH, United Kingdom",,Thẩm mỹ viện,5,,no_website
Victor & Garth,http://www.victorandgarth.co.uk/,"Victor & Garth, Unit 6, FountShoreditch, 188 Shoreditch High St, London E1 6HU, United Kingdom",,Medical clinic,5,,connection_error
Victoria Aesthetics Beauty Clinic,https://www.instagram.com/victoria_aesthetics.london/,"10a Rochester Row, London SW1P 1BS, United Kingdom",+447743939396,Skin care clinic,5,,social_media:instagram.com
Victoria Beauty & Aesthetics,,"214 Coldharbour Ln, London SW9 8SA, United Kingdom",,Beauty salon,4.9,,no_website
Vitamin Drip Bexley,,"Bexley High St, Bexley DA5 1JT, United Kingdom",,Medical spa,,,no_website
VITOLA BEAUTY CLINIC,,"1 Tweed Way, Romford RM1 4BG, United Kingdom",+447861053949,Beauty salon,5,,no_website
Vora Aesthetics,https://www.voraaesthetics.co.uk/,"21 Knightsbridge, London SW1X 7LY, United Kingdom",+447830704502,Beautician,4.9,,connection_error
We Do Skin,,"36 Lavender Hill, London SW11 5RL, United Kingdom",+447367889859,Skin care clinic,4.9,,no_website
Wellnessspas. Co. Uk Ltd,,"260 Colney Hatch Ln, Muswell Hill, London N10 1BD, United Kingdom",+447425843039,Health spa,5,,no_website
WOW Health & Aesthetics Clinic,https://wowhealthaestheticsclinic.pro/,"13 Genotin Terrace, Enfield EN1 2AF, United Kingdom",+442037937220,Phòng khám,5,,connection_error
Yasmin Aesthetic Clinic,https://botoxaestheticlondon.uk/,"260 Pentonville Rd, London N1 9JY, United Kingdom",+447440375593,Medical clinic,5,,connection_error
Your Skin Aesthetics London,,"80 Clapham High St, London SW4 7UL، United Kingdom",,,,,no_website
Z Aesthetics Hub,https://zaestheticshub.co.uk/,"Caledonian Rd, London N1 9BU, United Kingdom",+447856963451,Skin care clinic,5,,connection_error
Z Beauty & Aesthetic 6,,"770 Lea Bridge Rd, London E17 9DN, United Kingdom",+447727824993,Centro de estética,5,,no_website
Zahida's Beauty Clinic,https://zahidasbeautyclinic.co.uk/,"18 The Avenue, Harrow HA3 7DF, United Kingdom",+447946461786,Thẩm mỹ viện,5,,ssl_error
ZLaser and Skin Clinic,,"7 Throwley Way, Sutton SM1 4AF, United Kingdom",+447723328269,Laser hair removal service,4.9,,no_website
