name,website,address,phone,category,rating,reviews_count,reject_reason
Regenerative Wellbeing - Notting Hill,,"1 Courtnell St, London W2 5BU, United Kingdom",+442036375566,Wellness center,5,,no_website
REGENEXT CLINIC,,"Harley Health Village, 64 Harley St, Greater, London W1G 7HB, United Kingdom",+442071181400,Medical clinic,,,no_website
Rejuvenate Clinics,,"33 Pickhurst Ln, Hayes, Bromley BR2 7JE, United Kingdom",+442082263601,Medical clinic,5,,no_website
RestoPlus Hair Clinic,,"26, 806 High Rd. Leyton, London E10 6AE, United Kingdom",+442082811755,Clinica medica,5,,no_website
Saimari Clinic,,"Unit 4B, 4th floor, 193-195 Brompton Rd, London SW3 1LZ, United Kingdom",+447537945755,Medical clinic,5,,no_website
Simple Wellness Centre,http://simplewellnesscentre.com/,"32A Station Parade, Barking IG11 8DR, United Kingdom",+442085947932,Nutritionist,,,connection_error
Slimmer Fitter Stronger,,"50 Liverpool St, London EC2M 7PY, United Kingdom",+442039181510,Weight loss service,4.5,,no_website
Slimming World Ickenham with Aimee,,"33 Swakeleys Rd, Ickenham, Uxbridge UB10 8DG, United Kingdom",+447495248251,Weight loss service,,,no_website
Slimming World Richmond upon Thames,,"Christ's School Sixth Form Centre (Back of the School, Queen's Rd, Richmond TW10 6HW, United Kingdom",+447872541671,Weight loss service,,,no_website
Slimming world with Caroline,,"315-384 W End Rd, Ruislip HA4 6QX, United Kingdom",+447929197050,Weight loss service,5,,no_website
Sports Injury Specialist,,"117 New Rd, London E4 9EX, United Kingdom",+442038380926,Sports injury clinic,5,,no_website
Sports Medicine International,http://sportmedintl.com/,"THE CLINIC, 127 Fulham Palace Rd, London W6 8RF, United Kingdom",+447974959546,Sports injury clinic,,,http_error:404
St Mary's Sleep Clinic,,"6th Floor, London W2 1PE, United Kingdom",,Clinică pentru probleme privind somnul,5,,no_website
starbody weightloss management,,"The StarBody Clinic, 54a Priory Rd, London N8 7EX, United Kingdom",+447401234308,Weight loss service,,,no_website
"Steiner Clinic, Hair loss clinic",,"126A Ferme Park Rd, London N8 9SD, United Kingdom",,Clínica ambulatoria,3,,no_website
Superdrug Health Clinic,https://healtlinics.superdrug.com/store/l-hammersmith/,"65-68 King St, London W6 9HX, United Kingdom",,Weight loss service,4.3,,connection_error
Superdrug Health Clinic,https://healtlinics.superdrug.com/store/london-east-ham/,"89-93 High St N, London E6 1HZ, United Kingdom",,Weight loss service,4.2,,connection_error
Superdrug Health Clinic,https://healtlinics.superdrug.com/clinics/london-putney,"Shopping Centre, Su6 Unit B Ground, Putney High St, London SW15 1TD, United Kingdom",,Poliklinik,,,connection_error
Superdrug Health Clinic,https://onlinedoctor.superdrug.com/travel/clinic/london_upton_park.html,"321-325 Green St, London E13 9AR, United Kingdom",+443333111007,Phòng khám du lịch,5,,http_error:403
Sureslim Wellness Clinic,,"240 High St, Bromley BR1 1PQ, United Kingdom",+442083150044,Dịch vụ giảm cân,,,no_website
The 1:1 Diet by Cambridge Weight Plan - Uxbridge,,"33 Dowding Rd, Uxbridge UB10 0RH, United Kingdom",+447575146046,Weight loss service,,,no_website
The Annexe - Hillingdon Community Dermatology Service,,"1A Wallasey Cres, Ickenham, Uxbridge UB10 8SA, United Kingdom",+442037728286,Dermatologo,1.8,,no_website
The City and Travel Clinic,,"21 Knightsbridge, London SW1X 7LY, United Kingdom",+442070622385,Medical laboratory,4,,no_website
The Cosmetic Dermatology Clinic,,"6, Dermatology Department, Royal Free Hospital, Pond St, London NW3 2QG, United Kingdom",+442074357521,Dermatologist,,,no_website
The Family Dietitian,,"26 Pendarves Rd, London SW20 8TS, United Kingdom",+447539588523,Nutritionist,,,no_website
The Fertility Detective,,"Chiswick, London W12 9SD, United Kingdom",+447958986892,Medical Center,,,no_website
The Functional Nutrition Clinic,http://thefunctionalnutritionclinic.com/,"58 S Molton St, London W1K 5SL, United Kingdom",+442082265063,Medical clinic,,,ssl_error
The Great West Surgery,,"Chinchilla Dr, Cranford, Hounslow TW4 7NR, United Kingdom",+442086301370,Medical clinic,2.5,,no_website
The Grove Redbridge Child Development Centre & CAMHS,https://find.redbridge.gov.uk/kb5/redbridge/fsd/service.page?id=dt3QG4zENp0,"Grove Rd, Romford RM6 4XH, United Kingdom",+442088223246,Medical clinic,1.9,,http_error:403
The Grove Weight Loss Clinic,,"49 Kingston Rd, London SW19 1JW, United Kingdom",+442082655897,Dịch vụ giảm cân,,,no_website
The Injury Clinic,http://www.injury-clinic.co.uk/,"4 Station Rd, Gidea Park, Romford RM2 6DA, United Kingdom",+441708470787,Sports medicine clinic,4.9,,http_error:403
The Laser Treatment Clinic Harley St London,https://www.thelasertreatmentclinic.com/,"1 Harley St, London W1G 9QD, United Kingdom",02080128582,Skin care clinic,4.2,,http_error:403
The LeanBody Team,https://theleanbodyteam.com/,"12A Wingrave Rd, London W6 9HF, United Kingdom",+447864568912,Weight loss service,5,,connection_error
The London,,"2 Harley St, London W1G 9QY, United Kingdom",+442034880047,Weight loss service,5,,no_website
"The London Bridge Fertility, Gynaecology and Genetics Centre Ltd",,"1 St Thomas St, London SE1 9RY, United Kingdom",+442074033363,Medical clinic,,,no_website
The London Weight Loss Nutritionist,,"5, Citizen House, 72 Hornsey Rd, London N7 7ND",07909091917,Weight-Loss Service,5,,no_website
The Mole Clinic Harley Street,https://themoleclinic.co.uk/london-harleystreet/,"46 Harley St, London W1G 9PT",08000234212,Dermatologist,4.5,,http_error:403
The Mole Clinic Moorgate,https://themoleclinic.co.uk/london-moorgate/,"7 Moorgate, London EC2R 6AF, United Kingdom",+448000234212,Dermatolog,4.4,,http_error:403
The Nutrition Clinic,,"1 Westferry Circus, Canary Wharf Estate, London E14 4HD، United Kingdom",+442033688854,,,,no_website
The one2one diet by Cambridge Weight Plan|Richmond,http://www.one2onediet.com/JasmeetP,"The Vineyard, Richmond TW10 6AQ, United Kingdom",+447713151649,Weight loss service,,,http_error:404
The Smart Clinics - Chelsea,https://www.bupa.co.uk/health/thesmartclinics,"Unit 3, Verney House, 1 Hollywood Rd, London SW10 9HS، United Kingdom",+442070520070,Medical clinic,5,,http_error:403
The Smart Clinics - Wandsworth,https://www.bupa.co.uk/health/thesmartclinics,"15 Bellevue Rd, London SW17 7EG, United Kingdom",+442070520070,Medical clinic,3.2,,http_error:403
The Sports Injury & Wellness Centres,https://www.sportsinjuryandwellness.co.uk/,"168 Wendover Rd, Staines TW18 3DF, United Kingdom",+441784466219,Bệnh viện y học thể thao,5,,http_error:403
The Wellness Clinic,,"87-135 Brompton Rd, London SW1X 7XL، United Kingdom",,,3,,no_website
VCR,,"London SW11 2FS, United Kingdom",,Medical clinic,,,no_website
Velvet Pigmentation Clinic,http://www.velvetpigmentationclinic.com/,"193 Whitecross St, London EC1Y 8QP, United Kingdom",+447746165233,Hair replacement service,5,,connection_error
VIVA Family Ltd,,"5 St John's Ln, London EC1M 4BH, United Kingdom",+442038070958,Fertility clinic,5,,no_website
Weight Loss Management Clinic,,"Cromwell Hospital, 164-178 Cromwell Rd, London SW5 0TU, United Kingdom",+447811948203,Medical clinic,,,no_website
Weightless,,"23 Harley St, London W1G 9QN, United Kingdom",+442080501875,Weight loss service,4.6,,no_website
Wellness Medical Centre,,"19 Cliveden Pl, Sloane Square, London SW1W 8HD, United Kingdom",,Wellness center,,,no_website
Wolfson Fertility Centre,https://www.imperial.nhs.uk/our-services/fertility-and-reproductive-medicine/ivf,"Block C, Hammersmith Hospital, Du Cane Rd, London W12 0HS, United Kingdom",+442033134411,Clínica de reproducción asistida,3.4,,http_error:403
Worlds End Health Centre,,"529 King's Rd, London SW10 0UD, United Kingdom",+442073493200,Medical Center,2.3,,no_website
XY Clinic,https://xyclinic.com/,"30th Floor - 1, 122 Leadenhall St, London EC3V 4AB, United Kingdom",01702599209,Wellnesszentrum,5,,http_error:403
ZEN IV CLINIC,,"150 Southampton Row, London WC1B 5AN, United Kingdom",02078377143,IV therapy service,5,,no_website
