name,website,address,phone,category,rating,reviews_count
Derma Consult Skin Specialist,http://www.dermaskinspecialist.co.uk/,"Unit 1 and 2, 16 Crucifix Ln, London SE1 3JW, United Kingdom",+442045421773,Dermatologist,5,
Derma Mayfair,http://www.dermamayfair.com/,"70 Mortimer St, London W1W 7RY, United Kingdom",+447301277555,Medical clinic,5,
Derma Revive Skin Clinic,https://dermareviveskinclinic.co.uk/,"1-3 College Hill, London EC4R 2RA, United Kingdom",+442037514946,Clinică medicală,4.8,
Dermagenics Clinic,https://dermagenics.co.uk/,"21 Knightsbridge, London SW1X 7LY, United Kingdom",+447507018344,Medical clinic,5,
DermAlly Specialist Skin Clinic & Surgery (Camden) | Dermatologists Singapore,http://dermally.sg/,"1 Orchard Blvd, #05-01/02 Camden Medical Centre, Singapur 248649",+6563316988,Dermatolog,4.9,
Dermasurge Clinic,https://www.dermasurge.co.uk/,"121 Harley St, London W1G 6AX, United Kingdom",02079354654,Dermatologist,4.8,
Dermatica,https://www.dermatica.co.uk/,"10 Devonshire Square, London EC2M 4YP, United Kingdom",+442080501208,Dermatolog,4.6,
Dermatime skin and hair clinic,https://dermatime.co.uk/,"40 Romford Rd, London E15 4BZ, United Kingdom",+442035000923,Cơ sở chăm sóc da,5,
"Dermatology & Allergy, Welbeck London",https://welbeck.com/specialist-centres/private-dermatology-clinic,"1 Welbeck St, London W1G 0AR, United Kingdom",+442080152491,Cơ sở chăm sóc da,4.9,
DERMATOLOGY LONDON,http://dermatologylondon.co.uk/,"347 - 353 Chiswick High Rd., Chiswick, London W4 4HS, United Kingdom",+447938896259,Dermatologist,,
Dermatology Skincare Centre,https://dscskinclinic.com/,"3rd Floor, 4 Harley St, London W1G 9PB, United Kingdom",02080640838,Skin care clinic,5,
Dermatology Specialist,https://www.privategpclinic.co.uk/dermatology-mole-mapping/,"Private GP Clinic, health centre, Madeira Rd, West Byfleet KT14 6DH, United Kingdom",+441932344004,Dermatologist,4.9,
Dermconsult Dermatology Clinic,http://www.dermconsult.co.uk/,"55 Harley St, London W1G 8QR, United Kingdom",+442033030138,Dermatologist,4.1,
DestinationSkin,http://www.destinationskin.com/our-clinics/new-kings-road/,"291 New Kings Rd, London SW6 4RE, United Kingdom",+442070680760,Dermatologist,4.5,
Devonshire Dermatology,http://devonshiredermatology.co.uk/,"27 Devonshire Pl, London W1G 6JF, United Kingdom",+442038313881,Dermatologist,4.9,
Diamond Skin Laser Clinic,https://dslclinic.com/,"348 High Rd, Wembley HA9 6AZ, United Kingdom",+442080040277,Dermatologist,4.5,
Dietitian Fit - Nutritionist & Dietitian,http://www.dietitianfit.co.uk/,"Kempson Rd, London SW6 4PU, United Kingdom",+442081686887,Nutritionist,5,
Dietitian Fit - Nutritionist & Dietitian,http://www.dietitianfit.co.uk/,"medical centre, Murakami, 7 Craven Park Rd, London NW10 8SE، United Kingdom",+442081686887,,5,
Dietitian Fit - Nutritionist & Dietitians,http://www.dietitianfit.co.uk/,"17 Cavendish Square, London W1G 0PH, United Kingdom",02081686887,Nutritionist,5,
Doctor,https://www.slimmingdoctor.co.uk/,"249A Station Rd, Harrow HA1 2TB, United Kingdom",+442086173850,Weight loss service,5,
"Dr (TCM) Attilio D'Alberto - Twickenham, Richmond Practice",https://www.attiliodalberto.com/acupuncture-clinic/twickenham-richmond.php,"First Floor, 60 King St, Twickenham TW1 3SH, United Kingdom",+447786198900,Fertility clinic,5,
Dr Aadarsh Shah,https://www.drashah.com/,"17-19 View Rd, London N6 4DJ, United Kingdom",+442045748695,Dermatologist,5,
Dr Aaron Hughes,https://draaronhughes.com/,"52 Moxon St, Barnet EN5 5TS, United Kingdom",+442033931077,Dermatologist,5,
"Dr Amal Hassan, Sports & Exercise Medicine Consultant",https://www.doctify.com/uk/specialist/amal-hassan,"Institute of Sport, Exercise and Health (ISEH, 170 Tottenham Ct Rd, London W1T 7HA, United Kingdom",+442073747280,Sports medicine physician,5,
Dr Anil Skin & Wellness Clinics,https://dranil.co.uk/,"12a Turnham Green Terrace, Chiswick, London W4 1QP, United Kingdom",+442037976460,Dermatologist,4.6,
Dr Anna Chapman,http://drannachapman.com/,"EC, 120 Old Broad St, London EC2N 1AR, United Kingdom",,Dermatologist,5,
"Dr Arj Imbuldeniya Chiswick, Kew, Richmond, Ealing, West London Knee, Private Hip & Sports injury Specialist Consultant",https://www.iceortho.com/,"Chiswick Medical Centre Bond House, 347-353 Chiswick High Rd., Chiswick, London W4 4HS, United Kingdom",+442078594016,Sports medicine clinic,5,
"Dr Arj Imbuldeniya Kensington & Chelsea Private Knee, Hip & Sports Injury Specialist Consultant Surgeon",https://www.iceortho.com/,"The Lister Hospital, Chelsea Bridge Rd, London SW1W 8RH, United Kingdom",+442078594016,Sports medicine clinic,5,
"Dr Arj Imbuldeniya Mayfair & London Private Knee, Hip & Sports Injury Specialist Surgeon",https://www.iceortho.com/,"Lanserhof at The Mayfair Arts Club, 18 Dover St, London W1S 4LT, United Kingdom",+442039676969,Sports medicine clinic,4.8,
"Dr Arj Imbuldeniya Private Knee, Hip & Sports Injury Specialist Consultant Surgeon Harrow, Pinner, Ruislip, West London",https://www.iceortho.com/,"The Clementine Churchill Hospital, Circle, The Clementine Churchill Hospital, Harrow HA1 3RX, United Kingdom",+442078594016,Bệnh viện y học thể thao,5,
Dr Bazire Medical Weight Management,https://drbazire.uk/,"Wimpole Therapeutics, 2 Wimpole St, London W1G 0ED, United Kingdom",+447702737367,Specialized clinic,5,
Dr D McCrea - East Croydon Medical Centre,https://www.eastcroydonmc.co.uk/practice-information/meet-the-team/,"59 Addiscombe Rd, Croydon CR0 6SD, United Kingdom",+442036574170,Bác sĩ,3.5,
Dr Dev Shah - Dermatologist and Mohs Surgeon,http://www.drdevshah.com/,"Rickmansworth Rd, Northwood HA6 2JW, United Kingdom",+447453164488,Skin care clinic,5,
Dr Eirini Merika,https://www.topdoctors.co.uk/doctor/eirini-merika,"The Chelsea Wing - Adults and Paediatrics, 369 Fulham Rd., London SW10 9NH, United Kingdom",+442033986092,Dermatologist,,
Dr George Bownes,https://complete-physio.co.uk/clinics/chelsea-sw10-clinic/,"321 Fulham Rd., London SW10 9QL, United Kingdom",+447793675512,Sports medicine clinic,,
Dr Haus Dermatology,https://www.drhausdermatology.com/,"75 Harley St, London W1G 8QL, United Kingdom",+442079356358,Dermatologist,4.8,
Dr Howard Stevens,https://www.skincarenetwork.co.uk/team/howard-stevens/,"68 Union St, Barnet EN5 4HZ, United Kingdom",+442084411043,Dermatologist,3,
Dr Humble Cortisone Injection Clinic,https://thelic.co.uk/,"16 Glentworth St, London NW1 6AL, United Kingdom",+442081857273,Medical clinic,5,
Dr Jinah Yoo Dermatology,https://drjinahyoo.com/,"45 Weymouth St, London W1G 8BY, United Kingdom",+447483119137,Dermatologist,4.7,
Dr Justine Kluk - Consultant Dermatologist London,http://www.drjustinekluk.com/,"25 Harley St, London W1G 9QW, United Kingdom",+442037333225,Dermatologist,4.9,
Dr Kat Fertility,https://www.drkatfertility.com/,"2 Grosvenor Gardens, London SW1W 0DH, United Kingdom",,Fertility clinic,5,
Dr Katy Kasraie Aesthetic Doctor in London,http://www.drkasraie.com/,"51 Cadogan Gardens, London SW3 2TH, United Kingdom",+447822014611,Dermatologist,5,
Dr Kay Clinic,http://www.drkayclinic.com/,"36 Devonshire Rd, Chiswick High Rd., Chiswick, London W4 2HD, United Kingdom",+447799816999,Dermatologist,5,
Dr Lea Solman,https://www.topdoctors.co.uk/doctor/lea-solman,"Great Ormond St, London WC1N 3JH, United Kingdom",+442073606988,Pediatric dermatologist,5,
Dr Liesel Holler Bromley | Medical Aesthetics | HydraFacial | Facials | Lip Fillers | Profhilo,https://lieselholler.com/,"Milestones, Royal Parade, Chislehurst BR7 6NW, United Kingdom",+442071014979,Dermatologist,5,
Dr Lorenzo Masci,http://www.sportdoctorlondon.com/,"ISEH, 170 Tottenham Ct Rd, London W1T 7HA, United Kingdom",+442034880350,Medical Center,4.5,
Dr Malini Uppal,https://www.topdoctors.co.uk/doctor/malini-uppal,"16 St John St, Barbican, London EC1M 4NT, United Kingdom",+442037431479,Medical Center,5,
Dr Nicola Clayton,https://www.doctorclayton.com/,"660 Fulham Rd., London SW6 5RX, United Kingdom",,Dermatologist,5,
"Dr Noel Pollock, Consultant in Sport & Exercise Medicine",https://www.hcahealthcare.co.uk/finder/stepconsultantprofile/dr-noel-pollock-1,"Institute of Sport, Exercise and Health (ISEH, 170 Tottenham Ct Rd, London W1T 7HA, United Kingdom",+442079083790,Sports medicine physician,5,
Dr Paul Charlson | SkinQure Clinic @ London Wellness Centre (Canary Wharf),http://skinqure.co.uk/,"Wellness centre, Port Buildings East, 14 Hertsmere Rd, London E14 4AF, United Kingdom",+447545371100,Dermatolog,5,
"Dr Paul Clinics Private GP, Aesthetics and Weight Loss Doctor",https://www.drpaulclinics.co.uk/,"Rothesay Ave, Richmond TW10 5EB, United Kingdom",+447713382120,Weight loss service,5,
Dr PJ Aesthetic Clinic Hampstead,http://www.drpjaestheticclinic.com/,"9a Rosslyn Mews, London NW3 1NN, United Kingdom",+442034415151,Health and beauty shop,2.3,
Dr Rachel Sarah Brown,https://www.drrachelsbrown.com/,"17 King Edwards Rd, Ruislip HA4 7AE, United Kingdom",+447889682067,Medical clinic,5,
Dr Raj Mallipeddi,https://www.topdoctors.co.uk/doctor/raj-mallipeddi,"102 Sydney St, London SW3 6NR, United Kingdom",+442078989990,Dermatologist,5,
Dr Ramia Mokbel,https://www.drmokbelclinic.com/,"16 Devonshire Street W1G, London W1G 7AF, United Kingdom",+442070316770,Dermatologist,4.8,
Dr Ramia Mokbel Clinic,https://drmokbelclinic.com/,"11 Elystan St, London SW3 3NT, United Kingdom",+442037958427,Dermatologist,4.9,
Dr Rebecca Hayes,https://drrebeccahayes.co.uk/,"Bond House, 347-353 Chiswick High Rd., Chiswick, London W4 4HS, United Kingdom",+447575324703,Medical Center,5,
Dr Richard Allison,https://richardallisonnutrition.com/,"170 Tottenham Ct Rd, London W1T 7HA, United Kingdom",+442034472800,Nutritionist,5,
Dr Rick Seah,http://londonsportsphysician.co.uk/,"Institute of Sport, Exercise & Health- ISEH, 170 Tottenham Ct Rd, London W1T 7HA, United Kingdom",+442034889566,Sports medicine physician,4.3,
Dr Ryu Natural Medicine,https://drryu.co.uk/,"Highland House, 165 The Broadway, London SW19 1NE, United Kingdom",+442082417361,Medical clinic,5,
Dr Sam Botchey I Kensington Sports Medicine & Regenerative Medicine,https://www.drbotchey.com/,"Pure Sports Medicine: Wiggins Consultation Room, 14 McLeod's Mews, Cromwell Rd, London SW7 4XR, United Kingdom",+442045274849,Sports medicine clinic,,
Dr Sarah Davies,http://www.panacea-health.co.uk/,"Bond House, 347 - 353 Chiswick High Rd., London W4 4HS, United Kingdom",+442033702518,Sports medicine physician,5,
Dr Shantir’s Practice,http://www.drshantirpractice.co.uk/,"354-358 Forest Rd, London E17 5JL, United Kingdom",+442085207115,Medical clinic,3.2,
Dr Sharon Belmo Dermatology,http://www.drsharonbelmo.com/,"152 Harley St, London W1G 7LH, United Kingdom",+442081244616,Bác sĩ da liễu,4.6,
Dr Sharon Wong,http://www.drsharonwong.com/,"The Shard, St Thomas' Street, London SE1 9BS, United Kingdom",+447757676194,Dermatologist,3.6,
Dr Shashi Prasad - Menopause & Functional Medicine Clinic,http://drshashiprasad.com/,"The Grove's Private Medical Suite, 171 Clarence Ave, New Malden KT3 3TX, United Kingdom",+442083366550,Medical clinic,5,
Dr Sivanie Sewell Dermatologist,https://www.drsivaniesewell.co.uk/,"Spire St Anthony's Hospital, London Rd, Cheam, Worcester Park SM3 9DW, United Kingdom",+447494732757,Bác sĩ da liễu,,
Dr Suchitra Chinthapalli,http://suchitra.co.uk/,"Whitechapel Rd, London E1 1BB, United Kingdom",,Dermatologist,,
Dr Vee Aesthetics,https://drveeaesthetics.com/,"535A Old York Rd, London SW18 1TG, United Kingdom",+447380322528,Medical clinic,5,
"Dr Wing Chu, Sport & Exercise Medicine Consultant",https://www.finder.bupa.co.uk/Consultant/view/274345,"Chelsfield Park Hospital, Bucks Cross Rd, Chelsfield, Orpington BR6 7RG, United Kingdom",+447796673526,Sports medicine physician,5,
Dr. Camila Azzini,http://dracamilaazzini.com.br/,"Pinnacle House, St Dunstan's Hill, London EC3R 8HN, United Kingdom",+442073722497,Dermatologist,5,
Dr. George Kravvas – Dermatologist,https://www.drkravvasdermatology.co.uk/,"55 Harley St, London W1G 8QR, United Kingdom",+442035751474,Dermatologist,5,
Dr. Green Clinic,https://drgreen.clinic/,"79A Carter Ln, London EC4V 5EP, United Kingdom",+447920000079,Medical spa,5,
Dr. Hilmi Clinic,https://drhilmi.co.uk/,"1-5 Portpool Ln, London EC1N 7UU, United Kingdom",+447424997223,Medical clinic,3,
Dr. Ophelia Veraitch. - Private Dermatologist London,https://drophelia.com/,"130 Harley St, London W1G 7JU, United Kingdom",+442070229888,Dermatologist,4.9,
Dr. Robin Chatterjee,https://panacea-health.co.uk/,"Panacea Health Chiswick Medical Centre Bond House, 353 Chiswick High Rd., London W4 4HS, United Kingdom",+442033702518,Sports medicine physician,4.8,
Dr. Sumer Hair Clinic,https://drsumerclinic.com/,"49 Mount Pleasant, London WC1X 0AE, United Kingdom",+447760966719,Hair transplantation clinic,5,
Dr.Dropin Fulham,https://www.drdropin.uk/,"498-504 Fulham Rd., London SW6 5NH, United Kingdom",+442039622083,Dermatologist,4.9,
Drip Hydration London - Mobile IV Therapy,https://driphydration.co.uk/,"Lancashire Ct, London W1S 1EZ, United Kingdom",,Evde Sağlık Hizmeti,5,
Drub | Ear Care & Wellness,http://www.thedrub.com/,"Kiosk, Quay The Glassworks, Grenan Square, Greenford UB6 0GR, United Kingdom",+442039166463,Medical clinic,5,
E N T London,http://ent-london.co.uk/,"9 Harley St, London W1G 9QY, United Kingdom",+442075802426,Medical clinic,3,
Ear Wax Removal Clinic,http://www.earwaxremovalclinic.co.uk/,"2nd Floor, c/o Putneymead Group Medical Practice, 266 Upper Richmond Rd, London SW15 6TQ, United Kingdom",+443301230580,Medical clinic,5,
East Barnet Health Centre,http://www.eastbarnetgpsurgeries.co.uk/,"East Barnet Health Centre, 149 E Barnet Rd, London, Barnet EN4 8QZ، United Kingdom",+442034746829,Medical Center,3.4,
East Croydon Medical Centre,http://www.eastcroydonmc.co.uk/,"59 Addiscombe Rd, Croydon CR0 6SD, United Kingdom",+442036574170,Bác sĩ đa khoa,2.6,
Eczema Clinic,https://eczemaclinic.uk/,"52 High St, Pinner HA5 5PW, United Kingdom",+442033931077,Dermatologist,5,
Effect Doctors - Westfield,https://effectdoctors.com/our-locations/westfield/,"Westfield Shopping Centre, Ariel Way, London W12 7GF, United Kingdom",+442073057608,Weight loss service,5,
Egg Freezing - London Women's Clinic,https://www.londonwomensclinic.com/egg-freezing/about-egg-freezing/,"112 Harley St, London W1G 7JQ, United Kingdom",+442075634306,Fertility clinic,4.8,
Elite Hair Transplant Haven,https://surbiton.hairtransplantuniverse.com/,"1 Electric Parade, Surbiton KT6 5NT, United Kingdom",,Medical Center,,
Elvaston Medical Clinic,https://www.elvastonmedicalclinic.co.uk/,"11 Elvaston Pl, South Kensington, London SW7 5QG, United Kingdom",+447387766262,Medical clinic,5,
"Emma Coleman Aesthetics, Dermatology & Skin Treatments",http://www.emmacolemanskin.com/,"Emma Coleman Skin, 131 Queensway, Petts Wood, Orpington BR5 1DG, United Kingdom",+442087982571,Cơ sở chăm sóc da,4.8,
"Emma Coleman Skin - Aesthetics, Dermatology & Skincare",https://emmacolemanskin.com/,"131-133 High St, Beckenham BR3 1AG, United Kingdom",+442086509595,Bác sĩ da liễu,4.9,
"EMsculpt NEO London, Chelsea Clinic ( OFFICIAL ) ( South Kensington, Knightbridge Clinic )",https://www.chelsea.clinic/,"8 Exhibition Rd, South Kensington, London SW7 2HF, United Kingdom",+442070431107,Medical Spa,4.3,
Enhance Hair Restoration,https://enhancehairrestoration.co.uk/hair-transplant-london,"Hammersmith Hospital, 5-17 The Triangle, Hammersmith Grove, London W6 0LG, United Kingdom",08082583570,Hair transplantation clinic,5,
ENT Clinic Mr Tony Hinton FRCS,http://entclinicuk.com/,"Parkside Hospital, 53 Parkside, London SW19 5JT, United Kingdom",+442083361112,Medical clinic,,
Ent4kids,http://www.ent4kids.co.uk/,"61 Wimpole St, London W1G 8AH, United Kingdom",+442074875677,Medical clinic,4.7,
"ESS Clinic (Private Minor Surgery, Dermatology and Aesthetics)",http://www.essclinic.co.uk/,"142 George Ln, London E18 1AY, United Kingdom",+442089892004,Dermatologist,4.7,
Essential Fertility Chiswick,https://www.essentialfertility.co.uk/clinics/london-chiswick/,"253 Chiswick High Road, Grays W4 4PU، United Kingdom",+443456461778,Fertility clinic,,
Essential Fertility Croydon,https://www.essentialfertility.co.uk/clinics/london-croydon/,"The Old Coach House, 2 Wellesley Ct Rd, Croydon CR0 1LE, United Kingdom",+443456461778,Fertility clinic,,
Este Medical - Hair Transplant & Skin Clinic London,https://www.estemedicalgroup.uk/clinics/london,"14-15 Child's Pl, London SW5 9RX, United Kingdom",02045040780,Hair transplantation clinic,4.8,
Etera Medical Centre,http://www.eteramedical.co.uk/,"676-678 High Rd Leytonstone, Greater, Bushwood, London E11 3AA, United Kingdom",+442038834050,Medical Center,4.8,
Evolutio Ophthalmology,http://www.evolutio-uk.com/,"23 Victoria Rd, Romford RM1 2JT, United Kingdom",+442037807860,Clínica de oftalmología,3.4,
Ewell Hair Transplant,https://ewell.dhitransplantclinic.com/,"62 High St, Ewell, Epsom KT17 1RL",,,,
Expert Eye Clinic,https://expertdryeyeclinic.co.uk/,"34 Great Titchfield St., London W1W 8SP 영국",+442034044073,,4.6,
"Eye & Retina Surgeons, Camden Medical",https://www.ers.clinic/,"1 Orchard Blvd, #13-03 Camden Medical Centre, Singapore 248649",+6567382000,Eye care center,4.3,
Eye Clinic London,http://www.eyecliniclondon.com/,"7 Devonshire St, London W1W 5DY, United Kingdom",+442039744454,Eye care center,4.8,
Eye Excellence,https://eyeexcellence.co.uk/,"WOW Beauty, 2 Hampstead High St, London NW3 1PR, United Kingdom",+447956326568,Eye care center,4.8,
Ezee Fertility,https://ezeefertility.co.uk/,"Cavendish Rd, London SW19 2EZ, United Kingdom",,Fertility clinic,5,
Faciem Dermatology & Medical Clinic,http://www.faciemdermatology.com/,"7 Kensington Church St, London W8 4LF, United Kingdom",+442071313539,Dermatologist,4.6,
Fat Freeze & Face Lift London,https://vivoclinic.com/,"13 Palace St, London SW1E 5HX, United Kingdom",+443300245974,Weight loss service,5,
Fat Freezing,https://freezingfat.co.uk/,"10 Bury Pl, London WC1A 2JL, United Kingdom",+443300245974,Weight loss service,4.9,
Female Hair Loss,https://www.femalehairloss.co.uk/contact/romford/,"189 South St, Hornchurch, Romford RM1 1QA, United Kingdom",,Medical clinic,,
Fertility Bandwidth™ Programme-Bespoke fertility solutions for natural conception or adjunct to IVF,https://fertilitybandwidth.com/a,"Essential Feeling, 12 Oxley Cl, Romford RM2 6NX, United Kingdom",+447757946023,Reproductive health clinic,5,
Fertility Network UK,http://www.fertilitynetworkuk.org/,"Second Floor, Trafalgar Rd, London SE10 9EQ, United Kingdom",+441424732361,Fertility clinic,5,
Fertility Plus,http://bit.ly/2oumO0J,"92 Harley St, London W1G 7HU, United Kingdom",+448000226038,Fertility clinic,4.9,
Fertility Solution,http://www.fertilitysolution.co.uk/,"7 Manchester Square, London W1U 3PQ, United Kingdom",+447414833161,Women's health clinic,5,
Finescalps,https://finescalps.com/,"102-116 Windmill Rd, Croydon CR0 2XQ, United Kingdom",+447721383687,Permanent make-up clinic,5,
First 4 Health Group - Glen Road Medical Centre,https://www.first4healthgroup.co.uk/gp-surgery/glen-road-medical-centre,"1-9 Glen Rd, London E13 8RU, United Kingdom",+442074763434,Bác sĩ,3.7,
First Choice Medical Care,https://firstchoice.nhs.uk/,"275A Kings Rd, Harrow HA2 9LG, United Kingdom",+442084299966,Medical clinic,3,
Fitzrovia Clinic,https://fitzroviaclinic.com/,"5 Percy St, London W1T 1DG, United Kingdom",+442036085908,Medical clinic,5,
Fitzrovia Fertility,https://www.fitzroviafertility.co.uk/,"37 Manchester St, London W1U 7LJ, United Kingdom",+442076648844,Fertility clinic,5,
Fitzrovia Medical Centre,https://fitzroviamedicalcentre.co.uk/,"31 Fitzroy Square, London W1T 6EU, United Kingdom",+442073875798,Centro médico,2.4,
Fitzrovia Medical Clinic,https://www.fitzroviamedicalclinic.com/,"Fitzrovia Hospital, 13-14 Fitzroy Square, London W1T 6AH, United Kingdom",+442035350024,Dermatologist,4.7,
Fleet Street Clinic,https://fleetstreetclinic.com/,"29 Fleet St, Temple, London EC4Y 1AA, United Kingdom",+442073535678,Medical clinic,4.7,
Flora Crichton Nutrition,https://www.floracrichtonnutrition.com/,"400 King's Rd, London SW10 0LJ, United Kingdom",+447717123408,Nutritionist,5,
FM Hair Restoration,https://fmhairrestoration.co.uk/,"22 Harley St, London W1G 9PL, United Kingdom",+442035615147,Hair replacement service,4.8,
Follicle Hair Clinic,https://folliclehairclinic.com/,"Floor 2, 188 Brompton Rd, London SW3 1HQ, United Kingdom",+447770453981,Saç Transplantasyonu Kliniği,5,
Food Power Nutrition,https://foodpowernutrition.com/,"14 Hanover Square, London W1S 1HN, United Kingdom",,Nutritionist,5,
Fortes Clinic - Hair Transplant Clinic London,https://fortesclinic.co.uk/,"22 Clifton Rd, London W9 1ST, United Kingdom",02072860000,Hair transplantation clinic,4.8,
Francine Joyce - London Nutritionist Eating Disorders Expert,https://francinejoyce.com/,"198 Earls Ct Rd, London SW5 9QF, United Kingdom",+447904954842,Weight loss service,4.9,
Fulham PRP Hair Loss Clinic,https://www.prphairandskinclinic.co.uk/,"3-5 Vanston Pl, London SW6 1AY, United Kingdom",02038718520,Hair transplantation clinic,3.7,
Fulham Scalp and Hair Clinic,https://fulhamscalphairclinic.com/,"392 Lillie Rd, London SW6 7PE, United Kingdom",02077316695,Clinic,4.7,
Fulham Weight Loss Clinic,https://www.fulhamweightlossclinic.co.uk/,"290 Munster Rd, London SW6 6BQ, United Kingdom",+442073860585,Medical clinic,,
Future Care Medical,https://futurecaremedical.com/,"66 London Wall, London EC2M 5TN, United Kingdom",+442073626188,Medical clinic,5,
Future You Nutrition,https://www.futureyounutrition.uk/,"27 Branksome Rd, London SW19 3AW, United Kingdom",+447758565732,Nutritionist,5,
Gants Hill Medical Centre,http://www.gantshillmedical.co.uk/,"63-65 Ethelbert Gardens, Gants Hill, Ilford IG2 6UP, United Kingdom",+442085503740,Medic,2,
GenPrime Fertility,https://sg.genprime.com/,"1 Orchard Blvd, Unit 16-07 Camden Medical, Singapore 248649",63992240,Bệnh viện phụ sản,,
Geometry Clinic,https://geometryclinic.com/,"Pinero House, 115a Harley St, London W1G 6AR, United Kingdom",+447522779999,Medical clinic,5,
George Voyatzis,http://www.georgevoyatzis.com/,"9-11 Bath St, London EC1V 9LF, United Kingdom",+442074594045,Ophthalmologist,5,
Georgie Grant Nutrition,http://www.georgiegrant.co.uk/,"2A Prebend St, London N1 8PT, United Kingdom",,Nutritionist,5,
Get Inspired8,http://letsgetinspired.co.uk/,"Flat 170 Brompton Rd, London SW3 1HW, United Kingdom",+447542597066,Weight loss service,5,
Giuseppe Scapellato Nutrition,https://gscapellatonutrition.com/,"40, 44 The Broadway, London SW19 1RQ, United Kingdom",+447460862378,Nutritionist,5,
Global Hair Transplant Nexus,https://ilford.hairtransplantuniverse.com/,"165 High Rd, Ilford IG1 1DG, United Kingdom",,Medical group,,
Global Hair Transplant Oasis,https://ealing.hairtransplantuniverse.com/,"1 Spring Bridge Rd, The Broadway, London W5 2ND, United Kingdom",,Phòng khám,,
Global Regenerative Medicine Society,http://grmsociety.com/,"20-22 Wenlock Rd, London N1 7SL, United Kingdom",+447360053666,Medical Center,,
Gold Medical Centre - Private GP Enfield,http://www.goldmedicalcentre.co.uk/,"12 Genotin Terrace, Enfield EN1 2AF, United Kingdom",+442032315000,Schönheitsklinik,4.8,
Gordon House Surgery,https://www.gordonhouse.nhs.uk/,"Gordon House Surgery, 78 Mattock Ln, London W13 9NZ, United Kingdom",+442087995699,Medical clinic,3.7,
Grace Carey-Caton Nutrition & Wellness,http://www.gracecareynutrition.co.uk/,"Bons Farm, Stapleford Rd, Stapleford Tawney, Stapleford Abbotts, Romford RM4 1RP, United Kingdom",+447860241622,Nutritionist,5,
Graft Hair Clinic,https://grafthairclinic.co.uk/,"7 Upper Tooting Rd, Tooting Bec, London SW17 7TS",02039166716,,5,
Greenwich Sexual Health,http://greenwichsexualhealth.org/,"16-20 Market St, London SE18 6QR, United Kingdom",+442083018920,Public health department,3.5,
GV Clinic,https://thegvclinic.co.uk/,"25 Harley St, London W1G 8QL, United Kingdom",+442031001364,Weight loss service,5,
Hackney Diabetes Centre,https://www.homerton.nhs.uk/diabetes/,"Homerton Row, London E9 6SR, United Kingdom",+442085105920,Medical clinic,5,
Hainault Health Clinic,https://www.hainaulthealthclinic.co.uk/,"Hainault Health Clinic, Hainault Business Park, Ilford IG3 6UJ, United Kingdom",+442035766920,Wellness center,5,
Hair Clinic - Essex,https://www.hairclinic-essex.uk/,"19 Balgores Square, Gidea Park, Romford RM2 6AU, United Kingdom",+441708733433,Hair transplantation clinic,,
Hair Clinics,https://www.hairclinics.co/,"Office 514, Highlands House the Broadway, 165-167 The Broadway, London SW19 1NE, United Kingdom",,Hair transplantation clinic,,
Hair Development (UK),https://www.hair-development.com/,"247 Mile End Rd, Bethnal Green, London E1 4BJ, United Kingdom",+442077904567,Hair replacement service,4.8,
Hair Growth Centre - Romford l Hair Transplant Romford l Hair Loss Clinic Romford,https://www.hairgrowthcentre.com/,"48-50 South St, Romford RM1 1RB, United Kingdom",+441708572674,Hair transplantation clinic,4.8,
Hair Masters,https://www.hairmastersuk.com/,"Hair Masters, 88 Battersea Rise, London SW11 1EJ, United Kingdom",+442072281520,Hair replacement service,4.8,
Hair Transplant by Dr Mark Tam,https://www.drmarktam.co.uk/,"Mezzanine Suite, 121 Harley St, London W1G 6AX, United Kingdom",+442081681388,Hair transplantation clinic,5,
Hair Transplant Elite Emporium,https://carshalton.hairtransplantuniverse.com/,"1 Parkview Cl, Carshalton SM5 3JZ",,,,
Hair Transplant Elite Enclave,https://willesden.hairtransplantuniverse.com/,"237b High Rd, London NW10 2RY, United Kingdom",,Medical group,,
Hair Transplant Global Domain,https://edmonton.hairtransplantuniverse.com/,"211 Fore St, London N18 2TZ, United Kingdom",,Centro médico,,
Hair Transplant Global Emporium,https://london.hairtransplantuniverse.com/,"87 Chapel Market, London N1 9EX, United Kingdom",,Medical Center,,
Hair Transplant Global Oasis,https://enfield.hairtransplantuniverse.com/,"94-96 Silver St, Enfield EN1 3TW",,Medical centre,,
Hair Transplant Global Vanguard,https://purley.hairtransplantuniverse.com/,"910 Brighton Rd, Purley CR8 2LN, United Kingdom",,Surgeon,,
Hair Transplant Group (HTG),https://hairtransplantgroup.co.uk/,"551a Green Lanes, London N13 4DR, United Kingdom",02037811944,Hårtransplantationsklinik,5,
Hair Transplant Innovative Enclave,https://stratford.hairtransplantuniverse.com/,"2 Angel Ln, London E15 1FF, United Kingdom",,Phòng khám,,
Hair Transplant Innovative Vanguard,https://epsom.hairtransplantuniverse.com/,"2 Church Rd, Epsom KT17 1EB",,,,
Hair Transplant Premier Refuge,https://banstead.hairtransplantuniverse.com/,"91-93 High St, Banstead SM7 2NL",,,,
Hair Transplant Radiant Forum,https://pinner.hairtransplantuniverse.com/,"2A Love Ln, Pinner HA5 3EF, United Kingdom",,Medical Center,,
